Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume PLN
2019-04-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-03-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-02-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-01-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
