Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume CAD
2017-11-23,BTCCAD,10610,10687.99,10370,10390,452.94,4761401.65
2017-11-22,BTCCAD,10485,10749.99,10368,10610,252.24,2675726.26
2017-11-21,BTCCAD,10709,10800,10199,10485,568.47,5987835.07
2017-11-20,BTCCAD,10250,10748.38,10199,10709,480.08,5046965.34
2017-11-19,BTCCAD,10098.09,10341.88,9975.01,10250,606.61,6105513.44
2017-11-18,BTCCAD,9875,10100,9500,10098.09,328.89,3229640.91
2017-11-17,BTCCAD,10188.98,10299.99,9805,9875,472.8,4766104.36
2017-11-16,BTCCAD,9419.98,10200,9325,10188.98,686.64,6744657.64
2017-11-15,BTCCAD,8439.98,9419.99,8439.98,9419.98,454.48,4133911.82
2017-11-14,BTCCAD,8400,8700,8330.23,8439.98,340.34,2877614.2
2017-11-13,BTCCAD,7501,9000,7412,8400,604.66,4990186.13
2017-11-12,BTCCAD,7999.99,8300,7000,7501,1651.3,12725245.65
2017-11-11,BTCCAD,8600,9114,7900,7999.99,845.36,6932995.13
2017-11-10,BTCCAD,9249,9349,8278.99,8600,1174.73,10334058.76
2017-11-09,BTCCAD,9561,9595,9199,9249,454.72,4218822.85
2017-11-08,BTCCAD,9170,10110,9084,9561,1343.34,12926817.8
2017-11-07,BTCCAD,9047,9388.99,9046,9170,282.75,2596760.7
2017-11-06,BTCCAD,9800.9,9840,8900.01,9047,606.62,5649579.08
2017-11-05,BTCCAD,9510,9953,9435,9800.9,334.74,3259524.96
2017-11-04,BTCCAD,9469.16,9649.99,9201.02,9510,279.33,2638895.23
2017-11-03,BTCCAD,9390,9699.99,9161.01,9469.16,564.09,5333066.28
2017-11-02,BTCCAD,9010.12,9849.99,8900,9390,939.34,8675826.1
2017-11-01,BTCCAD,8496.97,9100,8300,9010.12,481.91,4177581.53
2017-10-31,BTCCAD,7995,8497,7938,8496.97,370.14,3049236.49
2017-10-30,BTCCAD,7993.99,7999,7929,7995,248.0,1972299.52
2017-10-29,BTCCAD,7501,8100,7480,7993.99,723.43,5623655.98
2017-10-28,BTCCAD,7616,7728.39,7481,7501,131.9,999409.94
2017-10-27,BTCCAD,7720,7799,7450.99,7616,215.98,1643903.54
2017-10-26,BTCCAD,7450,7800,7380.02,7720,281.78,2151945.73
2017-10-25,BTCCAD,7190.99,7450,7030,7450,604.13,4316650.28
2017-10-24,BTCCAD,7475,7564.99,7111,7190.99,495.71,3614694.2
2017-10-23,BTCCAD,7660,7733,7350,7475,438.65,3300413.4
2017-10-22,BTCCAD,7679,7734.99,7410,7660,243.19,1848732.71
