Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume ETH
2018-03-12,XRPETH,0.00114,0.00114,0.00111,0.00113,166755.0,187.85
2018-03-11,XRPETH,0.00113,0.00115,0.00112,0.00114,117754.0,133.38
2018-03-10,XRPETH,0.00114,0.00114,0.00111,0.00113,102949.0,115.62
2018-03-09,XRPETH,0.00115,0.00119,0.00112,0.00114,143833.0,165.66
2018-03-08,XRPETH,0.00114,0.00117,0.00111,0.00115,144663.0,164.99
2018-03-07,XRPETH,0.00111,0.00116,0.00109,0.00114,179726.0,200.68
2018-03-06,XRPETH,0.00112,0.00116,0.0011,0.00111,171484.0,192.77
2018-03-05,XRPETH,0.00115,0.00126,0.0011,0.00112,439336.0,524.17
2018-03-04,XRPETH,0.00105,0.0012,0.00104,0.00115,134385.0,148.56
2018-03-03,XRPETH,0.00104,0.00106,0.00104,0.00105,102047.0,107.0
2018-03-02,XRPETH,0.00104,0.00106,0.00103,0.00104,59902.0,62.65
2018-03-01,XRPETH,0.00104,0.0011,0.00102,0.00104,358376.0,374.86
2018-02-28,XRPETH,0.00106,0.00107,0.00102,0.00104,66484.0,69.63
2018-02-27,XRPETH,0.00108,0.00108,0.00105,0.00106,471223.0,504.05
2018-02-26,XRPETH,0.00107,0.00109,0.00104,0.00108,91986.0,97.64
2018-02-25,XRPETH,0.00109,0.0011,0.00106,0.00107,55574.0,60.0
2018-02-24,XRPETH,0.00111,0.00112,0.00107,0.00109,83008.0,90.58
2018-02-23,XRPETH,0.00112,0.00112,0.00107,0.00111,190958.0,209.92
2018-02-22,XRPETH,0.00114,0.00116,0.00108,0.00112,321418.0,360.97
2018-02-21,XRPETH,0.00116,0.00117,0.00113,0.00114,167613.0,192.66
2018-02-20,XRPETH,0.00118,0.00119,0.00114,0.00116,137122.0,160.11
2018-02-19,XRPETH,0.00118,0.0012,0.00117,0.00118,116080.0,137.23
2018-02-18,XRPETH,0.00121,0.00121,0.00115,0.00118,179318.0,211.19
2018-02-17,XRPETH,0.00118,0.00124,0.00115,0.00121,180018.0,215.07
2018-02-16,XRPETH,0.00121,0.00121,0.00117,0.00118,179168.0,212.25
2018-02-15,XRPETH,0.00122,0.00123,0.00117,0.00121,256093.0,307.07
2018-02-14,XRPETH,0.00117,0.00129,0.00115,0.00122,220659.0,264.5
2018-02-13,XRPETH,0.0012,0.00122,0.0011,0.00117,241181.0,284.12
2018-02-12,XRPETH,0.00119,0.00124,0.00118,0.0012,258941.0,313.6
2018-02-11,XRPETH,0.0012,0.00124,0.00112,0.00119,437355.0,517.88
2018-02-10,XRPETH,0.00105,0.00136,0.00103,0.0012,916440.0,1091.67
2018-02-09,XRPETH,0.00096,0.00108,0.00094,0.00105,697715.0,714.06
2018-02-08,XRPETH,0.00094,0.00097,0.0009,0.00096,243953.0,225.98
2018-02-07,XRPETH,0.00097,0.00098,0.00093,0.00094,428159.0,406.7
2018-02-06,XRPETH,0.00098,0.00105,0.00096,0.00097,681371.0,678.22
2018-02-05,XRPETH,0.00099,0.00103,0.00095,0.00098,544466.0,533.97
2018-02-04,XRPETH,0.00099,0.00101,0.00096,0.00099,275194.0,270.98
2018-02-03,XRPETH,0.00099,0.00102,0.00092,0.00099,515856.0,500.6
2018-02-02,XRPETH,0.00092,0.001,0.00083,0.00099,859385.0,787.78
2018-02-01,XRPETH,0.00101,0.00102,0.00083,0.00092,495283.0,455.88
2018-01-31,XRPETH,0.00103,0.00106,0.00099,0.00101,170803.0,173.11
2018-01-30,XRPETH,0.00107,0.00108,0.00103,0.00103,172948.0,181.64
2018-01-29,XRPETH,0.0011,0.00111,0.00106,0.00107,176887.0,191.36
2018-01-28,XRPETH,0.00109,0.00116,0.00097,0.0011,478364.0,506.17
2018-01-27,XRPETH,0.00115,0.00116,0.00108,0.00109,155419.0,174.39
2018-01-26,XRPETH,0.00124,0.0013,0.0011,0.00115,379948.0,443.36
2018-01-25,XRPETH,0.00128,0.00129,0.00122,0.00124,152809.0,191.05
2018-01-24,XRPETH,0.00136,0.0014,0.00126,0.00128,497978.0,658.18
2018-01-23,XRPETH,0.00135,0.00141,0.00129,0.00136,408366.0,554.9
2018-01-22,XRPETH,0.00131,0.00135,0.00121,0.00135,296448.0,374.83
2018-01-21,XRPETH,0.00136,0.00137,0.00126,0.00131,256982.0,339.06
2018-01-20,XRPETH,0.00148,0.00149,0.00133,0.00136,304594.0,423.57
2018-01-19,XRPETH,0.00156,0.00162,0.00142,0.00148,470000.0,722.33
2018-01-18,XRPETH,0.00129,0.0016,0.00125,0.00156,981346.0,1427.47
2018-01-17,XRPETH,0.00113,0.00135,0.00108,0.00129,1229888.0,1460.94
2018-01-16,XRPETH,0.0013,0.00135,0.00099,0.00113,1987678.0,2419.32
2018-01-15,XRPETH,0.00134,0.00145,0.00128,0.0013,291562.0,396.87
2018-01-14,XRPETH,0.00144,0.00148,0.00133,0.00134,340951.0,473.83
2018-01-13,XRPETH,0.00161,0.00164,0.00135,0.00144,966042.0,1440.05
2018-01-12,XRPETH,0.00169,0.0018,0.00154,0.00161,672052.0,1112.1
2018-01-11,XRPETH,0.00159,0.00213,0.00132,0.00169,1283315.0,2082.94
2018-01-10,XRPETH,0.0016,0.00179,0.00126,0.00159,956820.0,1398.56
2018-01-09,XRPETH,0.00212,0.00215,0.00148,0.0016,723952.0,1318.72
2018-01-08,XRPETH,0.00244,0.00246,0.002,0.00212,550944.0,1203.78
2018-01-07,XRPETH,0.00263,0.003,0.00225,0.00244,454618.0,1147.17
2018-01-06,XRPETH,0.00261,0.00288,0.00251,0.00263,368778.0,991.4
2018-01-05,XRPETH,0.00291,0.00307,0.0023,0.00261,734139.0,1983.85
2018-01-04,XRPETH,0.00288,0.00348,0.00251,0.00291,1095621.0,3405.27
2018-01-03,XRPETH,0.00252,0.00326,0.00233,0.00288,768392.0,2196.41
2018-01-02,XRPETH,0.00272,0.00277,0.0021,0.00252,516551.0,1266.69
2018-01-01,XRPETH,0.00266,0.00286,0.0023,0.00272,204123.0,521.99
2017-12-31,XRPETH,0.00269,0.00297,0.00214,0.00266,451674.0,1199.35
2017-12-30,XRPETH,0.00266,0.0035,0.0025,0.00269,1248033.0,3754.37
2017-12-29,XRPETH,0.00177,0.00412,0.00174,0.00266,1271535.0,3075.3
2017-12-28,XRPETH,0.00168,0.0019,0.0015,0.00177,321815.0,562.35
2017-12-27,XRPETH,0.00144,0.00193,0.00141,0.00168,525960.0,837.88
2017-12-26,XRPETH,0.00137,0.00152,0.00131,0.00144,249645.0,345.44
2017-12-25,XRPETH,0.00147,0.00151,0.0013,0.00137,132329.0,183.48
2017-12-24,XRPETH,0.00149,0.00158,0.00142,0.00147,275432.0,405.59
2017-12-23,XRPETH,0.00153,0.00163,0.0014,0.00149,248062.0,366.53
2017-12-22,XRPETH,0.00144,0.0019,0.0012,0.00153,906084.0,1375.86
2017-12-21,XRPETH,0.00092,0.00151,0.0009,0.00144,1149254.0,1415.36
2017-12-20,XRPETH,0.00092,0.00101,0.00086,0.00092,503473.0,457.25
2017-12-19,XRPETH,0.00097,0.00109,0.00085,0.00092,331664.0,314.0
2017-12-18,XRPETH,0.001,0.00113,0.00094,0.00097,288647.0,290.11
2017-12-17,XRPETH,0.00109,0.00112,0.00097,0.001,279847.0,286.64
2017-12-16,XRPETH,0.0011,0.00129,0.00104,0.00109,264630.0,292.79
2017-12-15,XRPETH,0.00126,0.0014,0.00096,0.0011,406693.0,469.61
2017-12-14,XRPETH,0.00068,0.00149,0.00059,0.00126,665808.0,711.72
2017-12-13,XRPETH,0.0006,0.00079,0.00057,0.00068,420898.0,285.73
2017-12-12,XRPETH,0.00048,0.00094,0.00045,0.0006,262377.0,147.38
2017-12-11,XRPETH,0.00054,0.00059,0.00048,0.00048,97136.0,50.38
2017-12-10,XRPETH,0.00052,0.00058,0.00048,0.00054,100966.0,52.19
2017-12-09,XRPETH,0.00058,0.00062,0.00047,0.00052,72649.0,37.32
2017-12-08,XRPETH,0.00049,0.0008,0.00049,0.00058,230435.0,133.9
2017-12-07,XRPETH,0.00057,0.0007,0.00049,0.00049,47457.0,24.98
