Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-06-27 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-26 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-25 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
