Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-07-27 06-PM,LTCRUB,5780.35,5786.74,5721.3,5725.64,42.86,246965.58
2019-07-27 05-PM,LTCRUB,5774.93,5787.39,5716.35,5780.35,71.67,412575.31
2019-07-27 04-PM,LTCRUB,5759.18,5795.87,5693.98,5774.93,52.66,302910.82
2019-07-27 03-PM,LTCRUB,5745,5783.79,5664.95,5759.18,107.87,619193.79
2019-07-27 02-PM,LTCRUB,5729.64,5766.43,5715.04,5745,46.87,269237.5
2019-07-27 01-PM,LTCRUB,5753.63,5827.29,5715.04,5729.64,131.7,759973.55
2019-07-27 12-PM,LTCRUB,5816.54,5829.89,5717,5753.63,125.71,727128.54
2019-07-27 11-AM,LTCRUB,5846.66,5850,5760.07,5816.54,74.02,431096.18
2019-07-27 10-AM,LTCRUB,6007,6013.22,5800,5846.66,101.61,599269.7
2019-07-27 09-AM,LTCRUB,6024.35,6064.49,5986.71,6007,45.05,270899.89
2019-07-27 08-AM,LTCRUB,6068.15,6068.15,6000,6024.35,52.99,319281.48
2019-07-27 07-AM,LTCRUB,6060.53,6077.7,6000,6068.15,45.78,276671.19
2019-07-27 06-AM,LTCRUB,6057.47,6099.92,6027.01,6060.53,46.76,283314.56
2019-07-27 05-AM,LTCRUB,6110.78,6120.25,6037.91,6057.47,46.06,279919.35
2019-07-27 04-AM,LTCRUB,6094.39,6114.91,6058.79,6110.78,46.62,283909.38
2019-07-27 03-AM,LTCRUB,6149.13,6150.63,6094.39,6094.39,56.28,344555.41
2019-07-27 02-AM,LTCRUB,6150.35,6181.41,6117.45,6149.13,47.23,290213.37
2019-07-27 01-AM,LTCRUB,6175.58,6200,6150.35,6150.35,46.77,288704.01
2019-07-27 12-AM,LTCRUB,6090.89,6206.41,6048.07,6175.58,105.31,648652.47
2019-07-26 11-PM,LTCRUB,6062.75,6116.31,6060.75,6090.89,68.67,417520.5
2019-07-26 10-PM,LTCRUB,6076.62,6096.61,6060.66,6062.75,43.66,265195.87
2019-07-26 09-PM,LTCRUB,6077.63,6097.31,6066.02,6076.62,43.34,263548.73
2019-07-26 08-PM,LTCRUB,6082.94,6120.25,6066.97,6077.63,45.6,277706.35
2019-07-26 07-PM,LTCRUB,6072.2,6100.46,6069.08,6082.94,51.29,312039.72
2019-07-26 06-PM,LTCRUB,6040.91,6098.63,6025.15,6072.2,44.47,268694.97
2019-07-26 05-PM,LTCRUB,6037.39,6060.96,6000.5,6040.91,46.39,279597.44
