Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EUSD
2018-12-27,DOGEUSD,0.002514,0.002584,0.00242,0.002449,3662482.68,9101.64
2018-12-26,DOGEUSD,0.002511,0.002589,0.002511,0.002514,1770129.14,4498.57
2018-12-25,DOGEUSD,0.002672,0.002672,0.00251,0.002511,2330001.74,5946.63
2018-12-24,DOGEUSD,0.002679,0.002778,0.00261,0.002672,4329051.11,11722.03
2018-12-23,DOGEUSD,0.002646,0.00272,0.00257,0.002679,3525916.53,9311.13
2018-12-22,DOGEUSD,0.0026,0.002683,0.002514,0.002646,2807311.11,7264.8
2018-12-21,DOGEUSD,0.002856,0.00289,0.0026,0.0026,3958422.92,10942.82
2018-12-20,DOGEUSD,0.0029,0.00304,0.002736,0.002856,4717726.77,13392.9
2018-12-19,DOGEUSD,0.002687,0.00306,0.002594,0.0029,4514985.25,12820.13
2018-12-18,DOGEUSD,0.002679,0.0028,0.002563,0.002687,4272788.61,11347.67
2018-12-17,DOGEUSD,0.002196,0.00299,0.002181,0.002679,6735244.55,16480.4
2018-12-16,DOGEUSD,0.002182,0.002235,0.002161,0.002196,1769642.2,3902.59
2018-12-15,DOGEUSD,0.002216,0.00224,0.00216,0.002182,1522126.64,3355.13
2018-12-14,DOGEUSD,0.002223,0.002267,0.00219,0.002216,2802597.61,6277.34
2018-12-13,DOGEUSD,0.002256,0.002267,0.002183,0.002223,2325400.41,5167.16
2018-12-12,DOGEUSD,0.002161,0.002273,0.002125,0.002256,2709888.21,5937.75
2018-12-11,DOGEUSD,0.002195,0.002207,0.00214,0.002161,4273347.98,9295.66
2018-12-10,DOGEUSD,0.002201,0.002274,0.002136,0.002195,2218652.6,4846.75
2018-12-09,DOGEUSD,0.00224,0.00228,0.002161,0.002201,2520778.81,5576.34
2018-12-08,DOGEUSD,0.00223,0.0023,0.002161,0.00224,2614341.18,5831.98
2018-12-07,DOGEUSD,0.002329,0.00238,0.00215,0.00223,3410848.59,7698.32
2018-12-06,DOGEUSD,0.002359,0.002401,0.002226,0.002329,1844995.67,4319.07
2018-12-05,DOGEUSD,0.00237,0.002373,0.00229,0.002359,2244836.93,5246.81
2018-12-04,DOGEUSD,0.002321,0.002396,0.002276,0.00237,3009104.87,7018.16
2018-12-03,DOGEUSD,0.002342,0.002397,0.00227,0.002321,2856942.61,6658.03
2018-12-02,DOGEUSD,0.002378,0.00238,0.0023,0.002342,1100157.44,2570.85
2018-12-01,DOGEUSD,0.002314,0.002394,0.00228,0.002378,1409672.29,3307.61
2018-11-30,DOGEUSD,0.002333,0.002376,0.00225,0.002314,1732692.21,3993.82
2018-11-29,DOGEUSD,0.002372,0.002377,0.002276,0.002333,3110382.6,7226.96
2018-11-28,DOGEUSD,0.002235,0.00244,0.002216,0.002372,2308532.71,5309.11
2018-11-27,DOGEUSD,0.002245,0.0023,0.00215,0.002235,1922101.21,4244.65
2018-11-26,DOGEUSD,0.002315,0.002416,0.0022,0.002245,5215494.41,12058.1
2018-11-25,DOGEUSD,0.002418,0.002492,0.002296,0.002315,3979998.93,9410.32
2018-11-24,DOGEUSD,0.002535,0.002616,0.002346,0.002418,3149148.81,7813.24
2018-11-23,DOGEUSD,0.002536,0.002566,0.002432,0.002535,2029273.05,5077.72
2018-11-22,DOGEUSD,0.002596,0.002797,0.0025,0.002536,4499273.36,11625.68
2018-11-21,DOGEUSD,0.002437,0.002696,0.002352,0.002596,2374467.62,5888.47
2018-11-20,DOGEUSD,0.002579,0.002652,0.00235,0.002437,6828496.0,16958.04
2018-11-19,DOGEUSD,0.002848,0.002876,0.002501,0.002579,4963321.11,13535.52
2018-11-18,DOGEUSD,0.002828,0.002848,0.00275,0.002848,2180624.13,6095.01
2018-11-17,DOGEUSD,0.003007,0.003009,0.00275,0.002828,1528366.76,4311.89
2018-11-16,DOGEUSD,0.003059,0.0032,0.00289,0.003007,2012769.49,6003.5
2018-11-15,DOGEUSD,0.003052,0.00314,0.00276,0.003059,6511101.46,19154.46
2018-11-14,DOGEUSD,0.00309,0.00317,0.0029,0.003052,4003004.23,12051.34
2018-11-13,DOGEUSD,0.003176,0.003188,0.003,0.00309,1930222.19,6000.88
2018-11-12,DOGEUSD,0.003282,0.003329,0.003098,0.003176,3424914.14,10840.68
2018-11-11,DOGEUSD,0.003417,0.003498,0.003253,0.003282,1818176.51,6039.58
2018-11-10,DOGEUSD,0.003278,0.0035,0.003206,0.003417,2637194.01,8978.45
2018-11-09,DOGEUSD,0.003526,0.003526,0.003184,0.003278,1728059.62,5754.04
2018-11-08,DOGEUSD,0.003725,0.003749,0.003456,0.003526,2781498.49,9997.8
2018-11-07,DOGEUSD,0.003812,0.003848,0.0037,0.003725,1798196.57,6772.04
2018-11-06,DOGEUSD,0.003759,0.003873,0.0037,0.003812,1013280.02,3842.43
2018-11-05,DOGEUSD,0.003833,0.003873,0.003696,0.003759,960251.67,3619.83
2018-11-04,DOGEUSD,0.00385,0.0039,0.00382,0.003833,1292077.31,4980.78
