Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume AUD
2018-08-01,ETCAUD,22.01,22.03,20.4,20.8,5184.26,110900.21
2018-07-31,ETCAUD,22.74,23.15,21.5,22.01,2731.29,61060.35
2018-07-30,ETCAUD,22.46,23.25,22.16,22.74,1052.92,24240.18
2018-07-29,ETCAUD,22.55,23,22.11,22.46,900.04,20548.66
2018-07-28,ETCAUD,23.13,23.16,22.28,22.55,252.02,5764.03
2018-07-27,ETCAUD,22.57,23.25,22.02,23.13,3629.98,81715.82
2018-07-26,ETCAUD,22.04,23.32,22,22.57,5558.43,126856.69
2018-07-25,ETCAUD,22.52,22.79,21.66,22.04,1238.07,27550.24
2018-07-24,ETCAUD,21.85,22.75,21.5,22.52,5905.35,132770.1
2018-07-23,ETCAUD,22,22.64,21.62,21.85,7866.58,173908.01
2018-07-22,ETCAUD,21.83,22.3,21.52,22,6259.47,137826.3
2018-07-21,ETCAUD,21.98,22.23,18.03,21.83,628.23,13607.73
2018-07-20,ETCAUD,23.33,23.88,21.22,21.98,9942.3,221881.13
2018-07-19,ETCAUD,23.43,23.88,23,23.33,1476.66,34750.36
2018-07-18,ETCAUD,24.38,24.66,23,23.43,3934.72,94901.72
2018-07-17,ETCAUD,23.4,30,22.32,24.38,13764.79,324038.96
2018-07-16,ETCAUD,22.81,23.45,9.13,23.4,6995.33,161013.64
2018-07-15,ETCAUD,22,23.09,18.98,22.81,2026.25,45326.45
2018-07-14,ETCAUD,21.7,22.61,18.17,22,4376.05,96936.77
2018-07-13,ETCAUD,21.84,22.8,21.52,21.7,4393.85,98438.41
2018-07-12,ETCAUD,22.09,22.52,0.24,21.84,16629.06,360505.07
2018-07-11,ETCAUD,21.7,22.73,0.59,22.09,8675.87,191290.38
2018-07-10,ETCAUD,24.7,24.7,18,21.7,5496.9,126298.03
2018-07-09,ETCAUD,24.5,24.84,23.99,24.7,3875.28,94353.31
2018-07-08,ETCAUD,24.83,24.99,24.22,24.5,3791.93,94169.17
2018-07-07,ETCAUD,24.4,24.83,23.26,24.83,4066.29,98203.54
2018-07-06,ETCAUD,23.3,24.5,22.99,24.4,10785.7,257142.36
2018-07-05,ETCAUD,22.81,23.44,22.52,23.3,4055.09,92484.57
2018-07-04,ETCAUD,21.61,23.2,21,22.81,6718.57,150996.76
2018-07-03,ETCAUD,22.3,23,21.6,21.61,4933.73,110980.63
2018-07-02,ETCAUD,21.49,22.79,20.52,22.3,25299.46,544713.52
2018-07-01,ETCAUD,21.23,21.6,20.9,21.49,3301.7,70035.88
2018-06-30,ETCAUD,20.6,22.2,20.22,21.23,15926.35,343387.03
2018-06-29,ETCAUD,19.99,20.7,19.01,20.6,6475.19,127465.6
2018-06-28,ETCAUD,21.21,21.21,19.7,19.99,4859.55,98879.58
2018-06-27,ETCAUD,20.2,21.21,19.25,21.21,10031.32,201363.0
2018-06-26,ETCAUD,21.21,21.53,20.2,20.2,7749.48,163488.08
2018-06-25,ETCAUD,20.09,21.5,19.54,21.21,10129.76,210789.11
2018-06-24,ETCAUD,20.12,20.49,17.84,20.09,18828.01,360091.96
2018-06-23,ETCAUD,19.4,20.57,19.03,20.12,16970.1,332156.59
2018-06-22,ETCAUD,23.56,23.82,19.06,19.4,17038.27,362329.37
