Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume AUD
2019-06-22 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-22 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 01-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 12-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 11-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 10-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 09-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 08-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-21 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 01-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 12-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 11-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 10-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 09-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 08-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-20 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 01-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 12-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 11-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 10-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 09-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 08-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 02-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 01-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-19 12-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 11-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 10-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 09-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 08-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 07-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 06-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 05-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 04-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 03-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 02-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 01-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 12-PM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 11-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 10-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 09-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 08-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 07-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 06-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 05-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 04-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 03-AM,BCHAUD,580,580,580,580,0.0,0.0
2019-06-18 02-AM,BCHAUD,580,580,580,580,0.0,0.0
