Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ABTC
2019-02-15,LIZABTC,58.1,62,48.52,49,0.06131,3.24
2019-02-14,LIZABTC,65,95,58.1,58.1,0.03923,2.64
2019-02-13,LIZABTC,72.11,73.9,62.01,65,0.04138,2.76
2019-02-12,LIZABTC,80.52,92.4,71.11,72.11,0.03601,2.82
2019-02-11,LIZABTC,91.34,95.5,80.4,80.52,0.03283,2.92
2019-02-10,LIZABTC,114.9,120.7,91.3,91.34,0.05393,5.73
2019-02-09,LIZABTC,117,128,111.57,114.9,0.01693,1.96
2019-02-08,LIZABTC,130,220,111.41,117,0.04374,5.75
2019-02-07,LIZABTC,155.27,155.3,121,130,0.03169,4.21
2019-02-06,LIZABTC,172,186.7,148.01,155.27,0.03172,5.07
2019-02-05,LIZABTC,194,366,170,172,0.02947,5.67
2019-02-04,LIZABTC,230,242,194,194,0.03806,8.2
2019-02-03,LIZABTC,245,245,225,230,0.02131,5.0
2019-02-02,LIZABTC,274,284.47,238,245,0.01822,4.69
2019-02-01,LIZABTC,325,330,270.02,274,0.02657,8.02
2019-01-31,LIZABTC,374,374,312.9,325,0.02517,8.51
2019-01-30,LIZABTC,340,390,321,374,0.02,7.06
2019-01-29,LIZABTC,326,444,317,340,0.02627,9.45
2019-01-28,LIZABTC,362.31,398.9,321,326,0.01613,5.59
2019-01-27,LIZABTC,441.99,450,356.1,362.31,0.01506,6.04
2019-01-26,LIZABTC,505,546.1,435,441.99,0.01071,5.29
2019-01-25,LIZABTC,550,600,480,505,0.01716,9.51
2019-01-24,LIZABTC,552,856,501,550,0.02763,16.38
2019-01-23,LIZABTC,696,725,550,552,0.01246,7.38
2019-01-22,LIZABTC,700,777,651,696,0.01106,7.89
2019-01-21,LIZABTC,680.2,1500,572,700,0.01854,15.11
2019-01-20,LIZABTC,880,880,525,680.2,0.02118,13.67
2019-01-19,LIZABTC,1166,1499,735,880,0.01619,15.71
2019-01-18,LIZABTC,1434,1594,1111.11,1166,0.01085,13.72
2019-01-17,LIZABTC,1700,1950,1270,1434,0.01064,17.4
2019-01-16,LIZABTC,1801.7,2045,1605.5,1700,0.005268,9.5
2019-01-15,LIZABTC,1752,3490,1355.01,1801.7,0.01926,36.92
2019-01-14,LIZABTC,4000,4159.54,1710,1752,0.02423,65.7
2019-01-13,LIZABTC,5100,7000,3516,4000,0.02401,111.94
2019-01-12,LIZABTC,3400,5700,3201,5100,0.01113,48.88
2019-01-11,LIZABTC,2500,4444.44,2300,3400,0.01738,55.18
2019-01-10,LIZABTC,1.0e-08,3500,1.0e-08,2500,3296114.52,57.69
2019-01-09,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,17680581.34,0.1768
2019-01-08,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,402000.0,0.00402
2019-01-07,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,2199602.5,0.022
2019-01-06,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,604302.91,0.006043
2019-01-05,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,781206.81,0.007812
2019-01-04,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,1502698.84,0.01503
2019-01-03,LIZABTC,1.0e-08,1.0e-08,1.0e-08,1.0e-08,784214.37,0.007842
