Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2018-08-15 07-PM,BTCRUR,438100,438930.19,435372.1,435372.1,4.73,2072147.84
2018-08-15 06-PM,BTCRUR,436286.87,438305.34,436286.87,438100,5.88,2570377.63
2018-08-15 05-PM,BTCRUR,435540.62,436286.87,435435.25,436286.87,2.76,1200826.1
2018-08-15 04-PM,BTCRUR,434682,435540.62,434668.1,435540.62,3.42,1488251.27
2018-08-15 03-PM,BTCRUR,433832.63,434682,433666,434682,3.25,1413289.91
2018-08-15 02-PM,BTCRUR,433449,433870,432003.59,433832.63,2.19,949038.03
2018-08-15 01-PM,BTCRUR,432824.28,433449,431482.13,433449,4.62,2000919.83
2018-08-15 12-PM,BTCRUR,431570.17,432943.76,431570.17,432824.28,1.95,843643.45
2018-08-15 11-AM,BTCRUR,432170.84,432551.63,431191.89,431570.17,2.16,933313.42
2018-08-15 10-AM,BTCRUR,431759.83,432228.49,431500,432170.84,1.94,836822.27
2018-08-15 09-AM,BTCRUR,430100.57,432019.78,429900.89,431759.83,2.29,989872.46
2018-08-15 08-AM,BTCRUR,430538.51,431802.23,430000,430100.57,5.41,2331882.13
2018-08-15 07-AM,BTCRUR,429468.39,430538.51,428219.38,430538.51,4.67,2009987.58
2018-08-15 06-AM,BTCRUR,428664,429468.39,428045.47,429468.39,3.89,1667652.38
2018-08-15 05-AM,BTCRUR,428396.53,428664,428140,428664,1.87,800076.71
2018-08-15 04-AM,BTCRUR,427271.05,428396.53,427068.24,428396.53,2.17,927659.9
2018-08-15 03-AM,BTCRUR,427721.03,427881.3,425631,427271.05,0.88,375593.28
2018-08-15 02-AM,BTCRUR,426555.51,427721.03,425625,427721.03,0.7896,336813.55
2018-08-15 01-AM,BTCRUR,427454.7,427539.62,426555.51,426555.51,0.283,120967.43
2018-08-15 12-AM,BTCRUR,426046.69,427454.7,425619.37,427454.7,0.4874,207754.07
2018-08-14 11-PM,BTCRUR,427333.31,427478.6,426046.69,426046.69,0.4646,198485.77
2018-08-14 10-PM,BTCRUR,423750.6,427333.31,423750.6,427333.31,1.26,536826.22
2018-08-14 09-PM,BTCRUR,425406.42,426601.5,423750.6,423750.6,1.33,565671.96
2018-08-14 08-PM,BTCRUR,426816.9,426906.95,423767.37,425406.42,2.38,1012434.19
