Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2018-08-30,QTUMETH,0.01667,0.01709,0.01598,0.0164,57454.36,941.07
2018-08-29,QTUMETH,0.01627,0.01769,0.01587,0.01667,63655.78,1056.51
2018-08-28,QTUMETH,0.01571,0.01684,0.01563,0.01627,62571.07,1015.05
2018-08-27,QTUMETH,0.01501,0.01627,0.01497,0.01571,57500.43,885.11
2018-08-26,QTUMETH,0.01511,0.01525,0.01484,0.01501,59727.09,897.9
2018-08-25,QTUMETH,0.01496,0.01523,0.01481,0.01511,55017.14,826.23
2018-08-24,QTUMETH,0.01511,0.01526,0.01477,0.01496,56262.75,845.65
2018-08-23,QTUMETH,0.01504,0.01519,0.01477,0.01511,57542.6,861.83
2018-08-22,QTUMETH,0.01523,0.01542,0.01491,0.01504,55780.31,844.58
2018-08-21,QTUMETH,0.01517,0.01531,0.01475,0.01523,55476.26,838.1
2018-08-20,QTUMETH,0.01536,0.01602,0.01498,0.01517,55936.03,860.26
2018-08-19,QTUMETH,0.01537,0.01549,0.01501,0.01536,58446.2,891.84
2018-08-18,QTUMETH,0.01572,0.01634,0.01481,0.01537,61330.97,942.21
2018-08-17,QTUMETH,0.01521,0.01658,0.015,0.01572,63982.0,995.68
2018-08-16,QTUMETH,0.01578,0.01588,0.01484,0.01521,57274.71,873.5
2018-08-15,QTUMETH,0.01599,0.01675,0.01525,0.01578,70806.42,1115.9
2018-08-14,QTUMETH,0.01469,0.01637,0.014,0.01599,64743.93,948.37
2018-08-13,QTUMETH,0.01446,0.01521,0.01437,0.01469,66793.38,982.09
2018-08-12,QTUMETH,0.01479,0.01479,0.01479,0.01479,0.0,0.0
2018-08-11,QTUMETH,0.01504,0.01519,0.01446,0.01479,29758.43,440.09
2018-08-10,QTUMETH,0.01489,0.01539,0.0145,0.01504,58408.16,864.79
2018-08-09,QTUMETH,0.0148,0.01505,0.01444,0.01489,60242.38,892.13
2018-08-08,QTUMETH,0.01597,0.01613,0.01437,0.0148,62358.45,943.04
2018-08-07,QTUMETH,0.01581,0.01655,0.01543,0.01597,60123.18,947.98
