Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DCN,Volume LTC
2018-07-13,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-12,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-11,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-10,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-09,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-08,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-07,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-06,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-05,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-04,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-03,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-02,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-01,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-30,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-29,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-28,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-27,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-26,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-25,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-24,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-23,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-22,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-21,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-20,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-19,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-18,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-17,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-16,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-15,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-14,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-13,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-12,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-11,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-10,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-09,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-08,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-07,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-06,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-05,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-04,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-03,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-02,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-06-01,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-31,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-30,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-29,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-28,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-27,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-26,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-25,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-24,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-23,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-22,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-21,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-20,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-19,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-18,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-17,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-16,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-15,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-14,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-13,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-12,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-11,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-10,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-09,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-08,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-07,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-06,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-05,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-04,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-03,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-02,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-05-01,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-30,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-29,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-28,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-27,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-26,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-25,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-24,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-23,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-22,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-21,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-20,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-19,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-18,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-17,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-16,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-15,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-14,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-13,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-12,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-11,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-10,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-09,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-08,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-07,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-06,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-05,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-04,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-03,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-02,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-04-01,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-31,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-30,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-29,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-28,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-27,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-26,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-25,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-24,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-23,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-22,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-21,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-20,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-19,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-18,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-17,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-16,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-15,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-14,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-13,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-12,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-11,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-10,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-09,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-08,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-07,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-06,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-05,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-04,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-03,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-02,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-03-01,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-02-28,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-02-27,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-02-26,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-02-25,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
