Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2018-12-16,DASHETH,0.7381,0.7607,0.7103,0.7411,282.9,205.79
2018-12-15,DASHETH,0.6976,0.7768,0.6879,0.7381,561.82,406.63
2018-12-14,DASHETH,0.7015,0.7143,0.6919,0.6976,231.38,161.71
2018-12-13,DASHETH,0.7175,0.7245,0.6976,0.7015,185.16,131.67
2018-12-12,DASHETH,0.7178,0.747,0.7146,0.7175,307.25,224.17
2018-12-11,DASHETH,0.7509,0.7583,0.702,0.7178,316.64,233.54
2018-12-10,DASHETH,0.8045,0.81,0.7406,0.7509,252.01,193.04
2018-12-09,DASHETH,0.7452,0.81,0.7385,0.8045,358.84,276.72
2018-12-08,DASHETH,0.7264,0.7722,0.7146,0.7452,647.46,475.33
2018-12-07,DASHETH,0.7143,0.7367,0.6872,0.7264,786.44,559.47
2018-12-06,DASHETH,0.7605,0.7791,0.7023,0.7143,791.49,594.76
2018-12-05,DASHETH,0.7768,0.7791,0.7473,0.7605,378.84,287.05
2018-12-04,DASHETH,0.7792,0.7885,0.7661,0.7768,192.7,149.86
2018-12-03,DASHETH,0.7978,0.8045,0.7701,0.7792,237.75,186.39
2018-12-02,DASHETH,0.8019,0.8126,0.7841,0.7978,152.61,121.8
2018-12-01,DASHETH,0.8111,0.8173,0.791,0.8019,189.54,153.33
2018-11-30,DASHETH,0.8231,0.8273,0.7827,0.8118,230.86,186.23
2018-11-29,DASHETH,0.8124,0.8247,0.7986,0.8231,330.01,268.64
2018-11-28,DASHETH,0.8138,0.8289,0.7982,0.8124,276.49,225.23
2018-11-27,DASHETH,0.8226,0.8601,0.7959,0.8138,335.56,278.63
2018-11-26,DASHETH,0.7841,0.8396,0.7748,0.8226,387.85,314.09
2018-11-25,DASHETH,0.8125,0.8298,0.774,0.7841,552.9,441.74
2018-11-24,DASHETH,0.8057,0.8427,0.7958,0.8125,595.91,487.55
2018-11-23,DASHETH,0.8079,0.8346,0.7924,0.8057,231.29,186.92
2018-11-22,DASHETH,0.8348,0.8484,0.8079,0.8079,268.62,222.96
2018-11-21,DASHETH,0.7983,0.8382,0.7896,0.8348,174.22,141.85
2018-11-20,DASHETH,0.7338,0.8021,0.7321,0.7983,1739.91,1310.45
2018-11-19,DASHETH,0.7452,0.7932,0.7188,0.7338,672.57,507.57
2018-11-18,DASHETH,0.763,0.7768,0.7406,0.7452,140.51,107.04
2018-11-17,DASHETH,0.7839,0.7872,0.7532,0.763,145.73,111.86
2018-11-16,DASHETH,0.7675,0.7883,0.7631,0.7839,240.27,185.98
2018-11-15,DASHETH,0.7892,0.7998,0.7495,0.7675,248.2,191.07
2018-11-14,DASHETH,0.7792,0.8222,0.7371,0.7892,417.8,327.43
2018-11-13,DASHETH,0.7724,0.7837,0.7682,0.7792,120.71,93.6
2018-11-12,DASHETH,0.7549,0.794,0.7542,0.7724,148.45,114.74
2018-11-11,DASHETH,0.7621,0.7653,0.7519,0.7549,163.3,123.95
2018-11-10,DASHETH,0.7622,0.7745,0.7519,0.7621,141.42,107.47
2018-11-09,DASHETH,0.779,0.779,0.758,0.7622,153.56,118.08
2018-11-08,DASHETH,0.7638,0.8124,0.761,0.779,244.03,191.66
2018-11-07,DASHETH,0.7799,0.7802,0.744,0.7638,176.89,134.5
2018-11-06,DASHETH,0.7824,0.8102,0.7747,0.7799,295.95,233.75
2018-11-05,DASHETH,0.7816,0.8084,0.7725,0.7824,213.92,169.12
2018-11-04,DASHETH,0.7771,0.8296,0.7632,0.7816,241.91,190.57
2018-11-03,DASHETH,0.7679,0.7814,0.7663,0.7771,113.21,87.75
2018-11-02,DASHETH,0.7706,0.7745,0.7655,0.7679,138.92,107.02
2018-11-01,DASHETH,0.7701,0.7784,0.7677,0.7706,117.15,90.51
2018-10-31,DASHETH,0.7769,0.81,0.7677,0.7701,256.36,201.04
2018-10-30,DASHETH,0.7635,0.7832,0.7632,0.7769,337.58,262.35
2018-10-29,DASHETH,0.7666,0.7722,0.7563,0.7635,140.78,107.54
