Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-08-16 02-AM,ZECRUR,9321.08,9322,9321.08,9322,0.072,671.08
2018-08-16 01-AM,ZECRUR,9321.05,9321.08,9321.05,9321.08,0.01082,100.82
2018-08-16 12-AM,ZECRUR,9576.54,9576.54,9321.05,9321.05,0.09937,926.24
2018-08-15 11-PM,ZECRUR,9331.92,9576.54,9331.92,9576.54,0.06542,626.52
2018-08-15 10-PM,ZECRUR,9323.94,9331.92,9323.94,9331.92,0.04504,420.31
2018-08-15 09-PM,ZECRUR,9321.06,9323.94,9321.06,9323.94,0.5045,4703.53
2018-08-15 08-PM,ZECRUR,9400.64,9598,9300,9321.06,1.54,14440.9
2018-08-15 07-PM,ZECRUR,9600,9600,9400.64,9400.64,1.54,14694.11
2018-08-15 06-PM,ZECRUR,9400,9600,9400,9600,4.21,39940.46
2018-08-15 05-PM,ZECRUR,9429.92,9598,9400,9400,1.09,10403.79
2018-08-15 04-PM,ZECRUR,9477.33,9598,9400,9429.92,3.38,32342.57
2018-08-15 03-PM,ZECRUR,9305,9477.33,9305,9477.33,1.55,14484.4
2018-08-15 02-PM,ZECRUR,9305,9316.27,9305,9305,1.82,16897.8
2018-08-15 01-PM,ZECRUR,9486.17,9486.17,9305,9305,2.29,21425.8
2018-08-15 12-PM,ZECRUR,9564.39,9605.53,9486.17,9486.17,2.46,23519.62
2018-08-15 11-AM,ZECRUR,9548.18,9564.39,9312.57,9564.39,0.7808,7334.89
2018-08-15 10-AM,ZECRUR,9300,9555.29,9300,9548.18,6.29,59222.65
2018-08-15 09-AM,ZECRUR,9400,9560.07,9300,9300,6.63,61883.38
2018-08-15 08-AM,ZECRUR,9400.05,9600,9263,9400,1.96,18518.03
2018-08-15 07-AM,ZECRUR,9250,9400.05,9250,9400.05,1.43,13443.36
2018-08-15 06-AM,ZECRUR,9300.2,9558.73,9250,9250,1.17,10917.64
