Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-06-19 08-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,977000.0,0.4355
2018-06-19 07-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,324000.0,0.1445
2018-06-19 06-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,531000.0,0.2366
2018-06-19 05-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,381000.0,0.1698
2018-06-19 04-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,2121000.0,0.9463
2018-06-19 03-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,3471000.0,1.54
2018-06-19 02-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,1339000.0,0.5975
2018-06-19 01-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,4778000.0,2.14
2018-06-19 12-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,714000.0,0.3183
2018-06-19 11-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,1684000.0,0.7519
2018-06-19 10-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,4986000.0,2.22
2018-06-19 09-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,2158000.0,0.9625
2018-06-19 08-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,2099000.0,0.9353
2018-06-19 07-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,1756000.0,0.7832
2018-06-19 06-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,1839000.0,0.8168
2018-06-19 05-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,407000.0,0.1808
2018-06-19 04-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,685000.0,0.3041
2018-06-19 03-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,115000.0,0.05121
2018-06-19 02-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,873000.0,0.3886
2018-06-19 01-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,592000.0,0.2632
2018-06-19 12-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,223000.0,0.09944
2018-06-18 11-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,424000.0,0.1892
2018-06-18 10-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,821000.0,0.3649
2018-06-18 09-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,225000.0,0.1
2018-06-18 08-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,153000.0,0.06812
2018-06-18 07-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,654000.0,0.291
2018-06-18 06-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1530000.0,0.68
2018-06-18 05-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,2800000.0,1.24
2018-06-18 04-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1796000.0,0.7972
2018-06-18 03-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,913000.0,0.4053
2018-06-18 02-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,704000.0,0.3132
2018-06-18 01-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,1776000.0,0.7898
2018-06-18 12-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,6292000.0,2.8
2018-06-18 11-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,2275000.0,1.01
2018-06-18 10-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,2034000.0,0.9039
2018-06-18 09-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1077000.0,0.4777
2018-06-18 08-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,912000.0,0.4045
2018-06-18 07-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,212000.0,0.09383
2018-06-18 06-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,655000.0,0.2898
2018-06-18 05-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,626000.0,0.2775
2018-06-18 04-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,744000.0,0.3294
2018-06-18 03-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1796000.0,0.797
2018-06-18 02-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1267000.0,0.5601
2018-06-18 01-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,399000.0,0.1768
2018-06-18 12-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,536000.0,0.2373
2018-06-17 11-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,499000.0,0.2213
2018-06-17 10-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,11627000.0,5.15
2018-06-17 09-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,512000.0,0.2249
2018-06-17 08-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1131000.0,0.4964
2018-06-17 07-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,335000.0,0.1477
2018-06-17 06-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,526000.0,0.2316
2018-06-17 05-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,835000.0,0.3681
2018-06-17 04-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,477000.0,0.2097
2018-06-17 03-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,5226000.0,2.29
2018-06-17 02-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1649000.0,0.7263
2018-06-17 01-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,977000.0,0.4297
2018-06-17 12-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,402000.0,0.1768
