Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2019-01-20,XVGBTC,1.83e-06,1.88e-06,1.75e-06,1.83e-06,597245.19,1.09
2019-01-19,XVGBTC,1.81e-06,1.88e-06,1.8e-06,1.83e-06,234211.01,0.4313
2019-01-18,XVGBTC,1.83e-06,1.85e-06,1.8e-06,1.81e-06,290176.9,0.5285
2019-01-17,XVGBTC,1.87e-06,1.88e-06,1.83e-06,1.83e-06,327607.59,0.6078
2019-01-16,XVGBTC,1.87e-06,2.0e-06,1.86e-06,1.87e-06,153266.98,0.2903
2019-01-15,XVGBTC,1.87e-06,1.97e-06,1.82e-06,1.87e-06,530472.31,1.0
2019-01-14,XVGBTC,1.8e-06,1.99e-06,1.79e-06,1.87e-06,560763.31,1.05
2019-01-13,XVGBTC,1.89e-06,1.93e-06,1.8e-06,1.8e-06,579495.06,1.08
2019-01-12,XVGBTC,1.96e-06,2.02e-06,1.89e-06,1.89e-06,731037.94,1.42
2019-01-11,XVGBTC,2.04e-06,2.24e-06,1.96e-06,1.96e-06,2066695.14,4.37
2019-01-10,XVGBTC,1.8e-06,2.13e-06,1.7e-06,2.04e-06,3174563.89,6.2
2019-01-09,XVGBTC,1.76e-06,1.81e-06,1.76e-06,1.8e-06,560427.52,1.01
2019-01-08,XVGBTC,1.79e-06,1.85e-06,1.74e-06,1.76e-06,4462844.71,7.86
2019-01-07,XVGBTC,1.83e-06,1.83e-06,1.79e-06,1.79e-06,406271.91,0.7355
2019-01-06,XVGBTC,1.81e-06,1.85e-06,1.78e-06,1.83e-06,496533.09,0.8982
2019-01-05,XVGBTC,1.8e-06,1.86e-06,1.78e-06,1.81e-06,444088.38,0.8127
2019-01-04,XVGBTC,1.82e-06,1.84e-06,1.78e-06,1.8e-06,370469.0,0.672
2019-01-03,XVGBTC,1.84e-06,1.86e-06,1.81e-06,1.82e-06,173851.54,0.3188
2019-01-02,XVGBTC,1.83e-06,1.87e-06,1.82e-06,1.84e-06,368348.54,0.6801
2019-01-01,XVGBTC,1.83e-06,1.85e-06,1.73e-06,1.83e-06,786849.87,1.41
2018-12-31,XVGBTC,1.88e-06,1.89e-06,1.76e-06,1.83e-06,1279223.35,2.35
2018-12-30,XVGBTC,1.89e-06,1.91e-06,1.8e-06,1.88e-06,824417.89,1.55
2018-12-29,XVGBTC,1.9e-06,1.94e-06,1.77e-06,1.89e-06,916171.97,1.72
2018-12-28,XVGBTC,1.85e-06,1.94e-06,1.76e-06,1.9e-06,470673.97,0.8891
2018-12-27,XVGBTC,1.94e-06,1.97e-06,1.83e-06,1.85e-06,1537969.79,2.9
2018-12-26,XVGBTC,1.95e-06,2.0e-06,1.93e-06,1.94e-06,747176.56,1.47
2018-12-25,XVGBTC,2.07e-06,2.08e-06,1.9e-06,1.95e-06,840352.34,1.64
2018-12-24,XVGBTC,2.06e-06,2.15e-06,2.0e-06,2.07e-06,983417.53,2.05
2018-12-23,XVGBTC,1.99e-06,2.08e-06,1.98e-06,2.06e-06,522254.82,1.07
2018-12-22,XVGBTC,1.98e-06,2.06e-06,1.92e-06,1.99e-06,828309.3,1.65
2018-12-21,XVGBTC,2.01e-06,2.08e-06,1.9e-06,1.98e-06,2650384.32,5.34
2018-12-20,XVGBTC,1.86e-06,2.07e-06,1.8e-06,2.01e-06,1926350.23,3.78
2018-12-19,XVGBTC,1.78e-06,2.01e-06,1.75e-06,1.86e-06,1510744.68,2.85
2018-12-18,XVGBTC,1.77e-06,1.8e-06,1.74e-06,1.78e-06,844704.44,1.49
2018-12-17,XVGBTC,1.73e-06,1.8e-06,1.72e-06,1.77e-06,571573.29,1.01
2018-12-16,XVGBTC,1.76e-06,1.8e-06,1.73e-06,1.73e-06,627752.53,1.11
2018-12-15,XVGBTC,1.76e-06,1.8e-06,1.71e-06,1.76e-06,446118.97,0.7763
2018-12-14,XVGBTC,1.67e-06,1.81e-06,1.67e-06,1.76e-06,1135620.11,1.99
2018-12-13,XVGBTC,1.68e-06,1.7e-06,1.66e-06,1.67e-06,5719003.62,9.59
2018-12-12,XVGBTC,1.65e-06,1.7e-06,1.61e-06,1.68e-06,1048603.75,1.75
2018-12-11,XVGBTC,1.69e-06,1.7e-06,1.63e-06,1.65e-06,1007672.69,1.67
2018-12-10,XVGBTC,1.72e-06,1.75e-06,1.6e-06,1.69e-06,2689945.39,4.5
2018-12-09,XVGBTC,1.73e-06,1.79e-06,1.71e-06,1.72e-06,1473545.84,2.57
2018-12-08,XVGBTC,1.76e-06,1.81e-06,1.73e-06,1.73e-06,292607.45,0.5155
2018-12-07,XVGBTC,1.62e-06,1.85e-06,1.54e-06,1.76e-06,1515954.71,2.55
2018-12-06,XVGBTC,1.76e-06,1.78e-06,1.62e-06,1.62e-06,716871.05,1.21
2018-12-05,XVGBTC,1.82e-06,1.87e-06,1.74e-06,1.76e-06,484932.33,0.8771
2018-12-04,XVGBTC,1.85e-06,1.88e-06,1.75e-06,1.82e-06,581451.29,1.06
2018-12-03,XVGBTC,1.91e-06,1.92e-06,1.81e-06,1.85e-06,347973.44,0.6462
2018-12-02,XVGBTC,1.88e-06,1.92e-06,1.83e-06,1.91e-06,285533.93,0.536
2018-12-01,XVGBTC,1.85e-06,2.01e-06,1.82e-06,1.88e-06,543743.71,1.03
2018-11-30,XVGBTC,1.89e-06,1.95e-06,1.8e-06,1.85e-06,928224.24,1.73
2018-11-29,XVGBTC,1.92e-06,2.39e-06,1.83e-06,1.89e-06,3306022.17,7.11
2018-11-28,XVGBTC,1.58e-06,2.01e-06,1.52e-06,1.92e-06,3365636.09,6.37
2018-11-27,XVGBTC,1.45e-06,1.59e-06,1.44e-06,1.58e-06,369216.98,0.5561
2018-11-26,XVGBTC,1.47e-06,1.52e-06,1.44e-06,1.45e-06,564281.5,0.8287
2018-11-25,XVGBTC,1.48e-06,1.48e-06,1.41e-06,1.47e-06,917489.87,1.32
2018-11-24,XVGBTC,1.47e-06,1.53e-06,1.42e-06,1.48e-06,870524.25,1.29
2018-11-23,XVGBTC,1.54e-06,1.54e-06,1.46e-06,1.47e-06,461826.86,0.6956
2018-11-22,XVGBTC,1.56e-06,1.6e-06,1.53e-06,1.54e-06,981611.6,1.53
2018-11-20,XVGBTC,1.56e-06,1.62e-06,1.41e-06,1.48e-06,1872064.46,2.81
2018-11-19,XVGBTC,1.73e-06,1.73e-06,1.53e-06,1.56e-06,1625765.26,2.57
2018-11-18,XVGBTC,1.72e-06,1.75e-06,1.7e-06,1.73e-06,281293.5,0.484
2018-11-17,XVGBTC,1.76e-06,1.77e-06,1.71e-06,1.72e-06,578949.61,1.01
2018-11-16,XVGBTC,1.77e-06,1.84e-06,1.75e-06,1.76e-06,432887.93,0.772
2018-11-15,XVGBTC,1.9e-06,1.91e-06,1.69e-06,1.77e-06,1595857.12,2.87
2018-11-14,XVGBTC,1.93e-06,1.97e-06,1.73e-06,1.9e-06,733686.32,1.37
2018-11-13,XVGBTC,2.0e-06,2.02e-06,1.93e-06,1.93e-06,365331.17,0.7246
2018-11-12,XVGBTC,2.02e-06,2.04e-06,1.98e-06,2.0e-06,179153.25,0.3594
2018-11-11,XVGBTC,2.07e-06,2.07e-06,2.01e-06,2.02e-06,210601.92,0.4302
2018-11-10,XVGBTC,2.07e-06,2.08e-06,2.03e-06,2.07e-06,112528.33,0.2312
