Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-06-25 11-AM,BTCIDR,162999000,165000000,162999000,163259000,0.3631,59464375.94
2019-06-25 10-AM,BTCIDR,161913000,163000000,161913000,162999000,0.126,20522113.79
2019-06-25 09-AM,BTCIDR,162043000,163000000,161500000,161913000,0.2172,35232063.95
2019-06-25 08-AM,BTCIDR,162500000,163998000,162043000,162043000,0.06976,11330176.08
2019-06-25 07-AM,BTCIDR,162043000,162997000,162043000,162500000,0.0607,9880655.69
2019-06-25 06-AM,BTCIDR,161998000,162597000,160900000,162043000,0.161,26088912.01
2019-06-25 05-AM,BTCIDR,159307000,162000000,159307000,161998000,0.5109,81957289.91
2019-06-25 04-AM,BTCIDR,158545000,159699000,158545000,159307000,0.4183,66529244.21
2019-06-25 03-AM,BTCIDR,158989000,158989000,158545000,158545000,0.09996,15870790.09
2019-06-25 02-AM,BTCIDR,157999000,158989000,157000000,158989000,0.3995,63162883.27
2019-06-25 01-AM,BTCIDR,155010000,157999000,155010000,157999000,0.2582,40758905.6
2019-06-25 12-AM,BTCIDR,155240000,157900000,155010000,155010000,0.2383,37237483.61
2019-06-24 11-PM,BTCIDR,156997000,156997000,155240000,155240000,0.0495,7750508.68
2019-06-24 10-PM,BTCIDR,156001000,156998000,156001000,156997000,0.02548,3984104.88
2019-06-24 09-PM,BTCIDR,155840000,156001000,154500000,156001000,0.1728,26867079.22
2019-06-24 08-PM,BTCIDR,155743000,157968000,155743000,155840000,0.06146,9626565.66
2019-06-24 07-PM,BTCIDR,157494000,157494000,155743000,155743000,0.06569,10267617.12
2019-06-24 06-PM,BTCIDR,157427000,157751000,157427000,157494000,0.03848,6069441.77
2019-06-24 05-PM,BTCIDR,157860000,157980000,156010000,157427000,0.2173,34218829.66
2019-06-24 04-PM,BTCIDR,155892000,157990000,155892000,157860000,0.2329,36565262.74
2019-06-24 03-PM,BTCIDR,155997000,155999000,155892000,155892000,0.04601,7177496.85
2019-06-24 02-PM,BTCIDR,155154000,155997000,155154000,155997000,0.01243,1934222.91
2019-06-24 01-PM,BTCIDR,155630000,155630000,155007000,155154000,0.01312,2037067.11
2019-06-24 12-PM,BTCIDR,155205000,155997000,155205000,155630000,0.1186,18483166.31
2019-06-24 11-AM,BTCIDR,155997000,155997000,155004000,155205000,0.1023,15903805.17
2019-06-24 10-AM,BTCIDR,155996000,155997000,153020000,155997000,0.1556,24172854.14
2019-06-24 09-AM,BTCIDR,155108000,156000000,155108000,155996000,0.01792,2792270.57
2019-06-24 08-AM,BTCIDR,154490000,156000000,154406000,155108000,0.2716,42132673.83
2019-06-24 07-AM,BTCIDR,153757000,154490000,153757000,154490000,0.2457,37871725.47
2019-06-24 06-AM,BTCIDR,154597000,154597000,153150000,153757000,0.04741,7308629.05
2019-06-24 05-AM,BTCIDR,153489000,154998000,153489000,154597000,0.2072,31935899.54
2019-06-24 04-AM,BTCIDR,152393000,153490000,152385000,153489000,0.03456,5270196.12
2019-06-24 03-AM,BTCIDR,152716000,152716000,152369000,152393000,0.1493,22754264.54
2019-06-24 02-AM,BTCIDR,152502000,152956000,152502000,152716000,0.1775,27110913.78
2019-06-24 01-AM,BTCIDR,152204000,153501000,152204000,152502000,0.07504,11435299.78
2019-06-24 12-AM,BTCIDR,154083000,154083000,152005000,152204000,0.04371,6675521.81
2019-06-23 11-PM,BTCIDR,155164000,155164000,153249000,154083000,0.1269,19487855.29
2019-06-23 10-PM,BTCIDR,156500000,156500000,155000000,155164000,0.261,40510678.65
2019-06-23 09-PM,BTCIDR,155500000,157500000,155500000,156500000,0.06619,10320086.5
2019-06-23 08-PM,BTCIDR,154790000,155500000,154790000,155500000,0.08104,12589593.07
