Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume SGD
2019-01-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-31,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2018-12-05,ETHSGD,148.27,148.27,144.5,147.25,112.84,16389.97
2018-12-04,ETHSGD,147.5,152.42,144.34,148.27,336.61,49712.4
2018-12-03,ETHSGD,159.15,159.15,144.45,147.5,91.61,13839.59
2018-12-02,ETHSGD,161.46,162.39,157.59,159.15,5.75,926.86
2018-12-01,ETHSGD,153.5,163.99,151.7,161.46,37.67,6040.92
2018-11-30,ETHSGD,157.62,162.88,153.5,153.5,120.21,19042.95
2018-11-29,ETHSGD,167.92,168.14,157.57,157.62,97.15,15838.2
2018-11-28,ETHSGD,150.5,175.77,150,167.92,487.6,79633.26
2018-11-27,ETHSGD,148.89,153.17,137.71,150.5,292.91,42237.43
2018-11-26,ETHSGD,160.19,160.19,141.71,148.89,155.51,23474.42
2018-11-25,ETHSGD,154.09,160.19,136.64,160.19,792.65,118598.28
2018-11-24,ETHSGD,165.17,172.74,149.38,154.09,215.55,34690.39
2018-11-23,ETHSGD,167.53,171.52,162,165.17,140.11,23562.86
2018-11-22,ETHSGD,182.34,186,167.53,167.53,62.45,11048.38
2018-11-21,ETHSGD,172.65,188,170.11,182.34,136.26,23949.27
2018-11-20,ETHSGD,204.34,204.38,165,172.65,1136.04,205993.89
2018-11-19,ETHSGD,243.03,243.03,194.36,204.34,218.4,45991.47
2018-11-18,ETHSGD,237.45,244.58,237.36,243.03,39.93,9574.48
2018-11-17,ETHSGD,236.09,238.5,235,237.45,43.03,10161.53
2018-11-16,ETHSGD,241.48,246.79,236,236.09,53.33,12888.45
2018-11-15,ETHSGD,228.01,251.2,226.31,241.48,69.12,16585.92
2018-11-14,ETHSGD,278.83,281,228.01,228.01,510.4,129752.21
2018-11-13,ETHSGD,290.97,290.97,278.83,278.83,29.97,8419.9
2018-11-12,ETHSGD,285.36,292.95,285.36,290.97,6.38,1844.49
2018-11-11,ETHSGD,294.84,294.84,285.21,285.36,21.15,6088.79
2018-11-10,ETHSGD,285.71,294.84,285.71,294.84,3.53,1030.23
2018-11-09,ETHSGD,290.19,292.71,285.71,285.71,0.2977,86.88
2018-11-08,ETHSGD,296.67,298.7,289.75,290.19,50.66,14875.49
2018-11-07,ETHSGD,301,305.2,295.51,296.67,132.14,39673.84
2018-11-06,ETHSGD,286.9,301,286.46,301,47.88,14011.55
