Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2016-02-24,BTCILS,1620.21,1680,1619,1680,3.79,6192.47
2016-02-23,BTCILS,1674,1692,1607.01,1677,10.52,17571.6
2016-02-22,BTCILS,1680,1716.9,1672,1704.98,7.41,12575.23
2016-02-21,BTCILS,1689.99,1720,1602,1680,12.7,21500.64
2016-02-20,BTCILS,1605,1695,1601,1695,26.59,43737.59
2016-02-19,BTCILS,1600,1610,1550.01,1605,2.79,4408.51
2016-02-18,BTCILS,1589,1610,1513.01,1610,6.46,10285.36
2016-02-17,BTCILS,1550,1594,1461,1589,29.75,44788.8
2016-02-16,BTCILS,1552.01,1590,1450.01,1480,23.98,35990.41
2016-02-15,BTCILS,1606.99,1606.99,1541,1560,14.16,22286.56
2016-02-14,BTCILS,1503,1574,1475.01,1574,14.34,21826.86
2016-02-13,BTCILS,1500.01,1544,1500,1503,9.33,14258.71
2016-02-12,BTCILS,1479.01,1531,1470,1500,33.16,49839.0
2016-02-11,BTCILS,1475.01,1510,1400,1504.99,39.8,58548.24
2016-02-10,BTCILS,1500,1524.99,1451.01,1475,38.86,58174.27
2016-02-09,BTCILS,1456.03,1580,1456.03,1490,9.71,14597.63
2016-02-08,BTCILS,1499,1599,1475,1489.99,7.84,11847.29
2016-02-07,BTCILS,1539.99,1539.99,1453,1509.99,11.84,17927.98
2016-02-06,BTCILS,1530,1540,1490,1540,3.21,4855.62
2016-02-05,BTCILS,1518,1569.99,1518,1530,7.96,12295.65
2016-02-04,BTCILS,1569.99,1569.99,1482.01,1500.04,6.26,9479.08
2016-02-03,BTCILS,1495,1600,1490,1515,11.23,17664.38
2016-02-02,BTCILS,1500,1530,1491.01,1527.99,6.83,10248.79
2016-02-01,BTCILS,1500,1550,1490,1490,5.8,8679.06
2016-01-31,BTCILS,1540,1560,1510.01,1559.99,6.28,9772.29
2016-01-30,BTCILS,1558.98,1558.98,1515,1515,1.46,2215.0
2016-01-29,BTCILS,1558.99,1558.99,1462,1549,14.27,21712.19
2016-01-28,BTCILS,1570,1570,1501,1558.99,18.72,28725.01
2016-01-27,BTCILS,1560.01,1620,1556.1,1619.99,5.91,9377.19
2016-01-26,BTCILS,1560.01,1560.01,1560,1560,1.98,3082.3
2016-01-25,BTCILS,1571.01,1633,1556.1,1556.1,6.23,9928.24
2016-01-24,BTCILS,1599,1619,1599,1619,2.53,4071.92
2016-01-23,BTCILS,1580,1614.98,1530,1560.01,1.98,3153.3
2016-01-22,BTCILS,1625,1639.99,1525,1525,23.09,37067.7
2016-01-21,BTCILS,1661,1724.99,1600,1661,22.99,37744.63
2016-01-20,BTCILS,1532.01,1661,1525,1661,23.93,37927.58
2016-01-19,BTCILS,1581,1600,1533.01,1569.99,10.73,16779.33
2016-01-18,BTCILS,1585,1620,1530,1581,8.7,13599.73
2016-01-17,BTCILS,1550.01,1646.5,1550.01,1646.5,29.32,46881.32
2016-01-16,BTCILS,1644.99,1780,1500,1550.01,17.61,28345.94
2016-01-15,BTCILS,1710,1749,1500,1644.99,31.71,51731.15
2016-01-14,BTCILS,1749.99,1752.99,1749,1749.99,6.83,11959.18
2016-01-13,BTCILS,1790,1790,1680,1765,9.63,16557.09
2016-01-12,BTCILS,1790,1800,1751,1790,4.51,8078.65
2016-01-11,BTCILS,1763.99,1800,1755,1790,15.26,27084.93
2016-01-10,BTCILS,1726.01,1763.99,1725,1763.99,12.01,21037.6
2016-01-09,BTCILS,1762.01,1778,1627,1750,14.65,25053.01
2016-01-08,BTCILS,1784.99,1798,1751.01,1780,12.71,22781.87
2016-01-07,BTCILS,1680,1798,1611,1783.99,27.09,47260.78
2016-01-06,BTCILS,1703.99,1707,1680,1680,1.71,2884.73
2016-01-05,BTCILS,1711.99,1718,1670.01,1717.99,6.97,11905.87
2016-01-04,BTCILS,1680,1715,1658,1715,4.47,7524.67
2016-01-03,BTCILS,1699.99,1699.99,1674.64,1674.64,6.67,11243.53
2016-01-02,BTCILS,1680,1696.99,1680,1695.99,0.2761,467.14
2016-01-01,BTCILS,1682.98,1682.98,1640.01,1680,2.31,3805.86
2015-12-31,BTCILS,1656,1690,1630,1652.01,8.91,14747.01
2015-12-30,BTCILS,1630.01,1689.99,1630.01,1684.99,2.71,4529.88
2015-12-29,BTCILS,1649.99,1690,1620,1630.01,7.03,11593.48
2015-12-28,BTCILS,1633.33,1650,1633.32,1650,2.0,3268.36
2015-12-27,BTCILS,1618.88,1649,1561,1633.32,4.4,7104.41
2015-12-26,BTCILS,1699,1699,1558,1639.86,33.23,54162.64
2015-12-25,BTCILS,1680,1736.34,1600,1699,4.57,7745.43
2015-12-24,BTCILS,1700,1700,1575,1680,4.19,6773.79
2015-12-23,BTCILS,1650,1700,1602,1690,22.1,36408.56
2015-12-22,BTCILS,1700,1710,1645,1650,12.48,20668.23
2015-12-21,BTCILS,1694.99,1700,1600,1700,10.26,16895.3
2015-12-20,BTCILS,1745,1755,1650,1694.99,16.22,27686.56
2015-12-19,BTCILS,1775,1775,1745,1745,2.19,3834.73
2015-12-18,BTCILS,1769,1780,1730,1769,5.94,10421.57
2015-12-17,BTCILS,1713,1770,1675,1701,7.8,13339.94
2015-12-16,BTCILS,1749.99,1765,1675.01,1765,9.9,17340.0
2015-12-15,BTCILS,1650,1750,1650,1749.99,6.28,10709.97
2015-12-14,BTCILS,1687.73,1695,1575.01,1650,8.93,14665.95
2015-12-13,BTCILS,1600,1689,1600,1683.93,4.56,7554.9
2015-12-12,BTCILS,1714.37,1750,1551.01,1600,21.34,34811.18
2015-12-11,BTCILS,1595,1699,1202,1699,41.82,64331.7
2015-12-10,BTCILS,1500,1600,1500,1590,3.15,4986.54
2015-12-09,BTCILS,1550,1635,1453,1500,11.52,18115.39
2015-12-08,BTCILS,1482.01,1550,1482,1550,17.74,26973.34
2015-12-07,BTCILS,1519.99,1522,1516,1516,0.4551,692.4
2015-12-06,BTCILS,1487,1502,1451,1499,11.01,16293.21
2015-12-05,BTCILS,1395,1494.99,1395,1494.99,19.63,28493.78
2015-12-04,BTCILS,1389,1394.99,1380,1383,3.01,4174.33
2015-12-03,BTCILS,1382.99,1390,1366,1380,4.5,6208.72
2015-12-02,BTCILS,1379.99,1387,1345,1382.99,12.54,17005.26
2015-12-01,BTCILS,1420.01,1425,1362,1399.99,24.21,33418.81
2015-11-30,BTCILS,1449.99,1470,1395,1420,17.52,25141.03
2015-11-29,BTCILS,1380,1425,1373,1425,13.41,18577.52
2015-11-28,BTCILS,1384.99,1385,1380,1380,1.21,1672.51
2015-11-27,BTCILS,1335,1384.83,1330.03,1384.83,8.16,10987.05
2015-11-26,BTCILS,1295,1395,1295,1335,28.31,38366.85
2015-11-25,BTCILS,1228,1271.99,1228,1271.99,8.61,10699.98
2015-11-24,BTCILS,1219,1225,1210,1225,7.28,8883.59
2015-11-23,BTCILS,1240,1250,1230,1249.99,4.68,5792.65
2015-11-22,BTCILS,1245.01,1260,1200,1240,12.28,14977.18
2015-11-21,BTCILS,1254.99,1280,1254.99,1279.99,2.23,2825.0
2015-11-20,BTCILS,1205.01,1269,1205.01,1254.99,4.2,5302.66
2015-11-19,BTCILS,1262,1280,1205.01,1205.01,2.29,2823.79
2015-11-18,BTCILS,1278.01,1295,1201,1295,33.62,42600.95
2015-11-17,BTCILS,1251.07,1314,1251.07,1314,11.52,14923.19
2015-11-16,BTCILS,1243,1280,1213,1248,25.29,31156.87
2015-11-15,BTCILS,1298.99,1299,1243,1243,13.78,17285.68
2015-11-14,BTCILS,1275.32,1294.99,1260,1294.99,6.15,7812.98
2015-11-13,BTCILS,1262.6,1262.6,1262.01,1262.01,0.5547,700.03
2015-11-12,BTCILS,1218,1330,1194,1281,27.19,35295.73
2015-11-11,BTCILS,1295,1301,1140,1218,35.83,43772.53
2015-11-10,BTCILS,1435.01,1479.99,1250,1295,49.85,66478.32
2015-11-09,BTCILS,1440,1483,1388,1470,26.59,37612.0
2015-11-08,BTCILS,1579.99,1579.99,1475,1566.99,8.12,12077.96
2015-11-07,BTCILS,1499.99,1590,1470,1470,1.9,2859.28
2015-11-06,BTCILS,1450,1600,1332,1599.9,18.59,27990.8
2015-11-05,BTCILS,1500,1652,1200,1500,70.29,105693.54
2015-11-04,BTCILS,1530,1900,1451,1500,89.36,149640.1
